epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,514.863,1.10996,1.54241,1.25613,0.74432,0.83589,0.83691,0.62802,1.04702,1.31242,1.20062,0.00011895,0.00011895,0.00011895
2,1057.32,1.03462,0.90089,1.18869,0.87353,0.86716,0.85636,0.63025,1.097,1.13567,1.22658,0.000228527,0.000228527,0.000228527
3,1672.56,1.0058,0.80992,1.17102,0.84156,0.85454,0.85843,0.63647,1.073,1.16171,1.19546,0.000328679,0.000328679,0.000328679
